DurationCategoryID,Start,End,Description
1,00:00,00:05,< 5 mins
2,00:05,02:00,5 mins - 2 hrs
3,02:00,04:00,2-4 hrs
4,04:00,06:00,4-6 hrs
5,06:00,08:00,6-8 hrs
6,08:00,10:00,8-10 hrs
7,10:00,12:00,10-12 hrs
8,12:00,14:00,12-14 hrs
9,14:00,100000:00,>14 hrs
