FromSite,ToSite,MinimumTimeLimit,MaximumTimeLimit
1,2,00:00:00,00:00:00
1,3,00:00:00,00:00:00
2,1,00:00:00,00:00:00
2,3,00:00:00,00:00:00
3,1,00:00:00,00:00:00
3,2,00:00:00,00:00:00
